,Name,Rating,Date,Review
0,Scopa,5 star rating,10/12/2021,"One word. RONNIE. The most ELITE waiter my friends and I have ever come across. We went there for the espresso martinis, yet left with a new friendship.

Seriously though, the espresso martinis were top notch. We had about 12 between the three of us. Ronnie pulled out his tricks, and made us ""speciality cocktails"" after we decided we probably shouldn't have any more espresso martinis. The specialty cocktails were NOT on the menu. They were delicious. I'll be honest- we did not have any food. BUT, I will say it looked and smelled delicious. I wish I lived in Boston just so I can go hang out with Ronnie if I'm ever having a bad day.

PRIME Location- a block from The Paul Revere house and in Boston's exquisite North End. If you're in town, stop by Ronnie and have an espresso martini!"
1,Scopa,3 star rating,3/30/2022,"Cute little restaurant! I love little places like this. Cozy, cute, small number of tables. They have a beautiful pizza oven, which is a focal point when you walk in. We had our date night out here, so I just enjoyed our time with our food, and no toddler demands and screaming in the middle of it all. ;D 

We got a huge antipasto plate. By huge, I mean h-u-g-e. It was more than enough for the two of us. Along with that we had the calamari, which was very fresh and perfectly cooked. 

My hubs decided we needed to order a pizza too since that's what they're known for. We got the broccoli rabb and spicy salami pizza. The crust was great, but a little too heavy on the broccoli as it was hard to eat. 

Now this was our first dining experience in the north end, so I can't compare but it was decent and had a quaint little space. The service was good and attentive too. Can't really go too wrong, especially if other places have a long wait."
2,Scopa,5 star rating,4/8/2022,"Yeah this place is awesome, I enjoy everything on the menu. Service is great and food really good.."
3,Scopa,5 star rating,7/26/2021,Delicious pizza!! We got 3 pies for 3 people and it was the perfect amount. I could have eaten more if given the opportunity because it was so good. Perfectly cooked and great toppings. There aren't a ton of choices but there's sure to be at least one for everyone.
4,Scopa,4 star rating,2/21/2022,Super cute! We went around 6:45pm with a reservation and it was empty. Pizza was super good and good portion sizing. Staff was super nice and great location in the north end
5,Scopa,5 star rating,7/2/2021,Came around 12 to get lunch. The service was great and the establishment was clean! My table each got our own pizza and each was so SO delicious! I personally loved the Artichoke and Mortadella pizza!
6,Scopa,5 star rating,12/28/2021,Oh my god. I went with my parents to see a pizza restaurant and we went across this. The restaurant is so small and cute. One thing I would love to mention is the waiter. I think my parents would say the same. He was very understanding and he helped us pick out some food options. I loved how the place was not too big and it had very good music to listen to. I do not have any problem with this restaurant  neither do I have any problems with the food. Please do come back here to have a good time. Just know to go at the right time so you don't go at a time where it's packed. I wish I could give this  restaurant a 6....
7,Scopa,5 star rating,1/17/2022,The pizza here was amazing.  We were just wandering the north end yesterday and came across it. The smell of the pizza cooking enticed us to order some when we were just there for drinks. And it did not disappoint hot and crispy crust with gooey cheese in top. Service was also fantastic.
8,Scopa,5 star rating,3/3/2019,"Ten Stars!!! This place is aaaaaaaahmazing!

It's just a little restaurant with seating for about 22-25. The cook and the server are both very friendly and accommodating. With a small menu, I didn't identify anything that I was interested in (from my Americanized view of Italian food) and the server helped me choose a plate that I would fall in love with. 

We all ordered something a little different and agreed that it was likely the best Italian we've ever tasted. While we like to try new places when we visit the North End, we will definitely be visiting here again.

The only con we have is the portion size to price. Even in the North End we've experienced larger portions for the cost. However - I will say the portions are just right if you don't want to indulge and overstuff yourself."
9,Scopa,4 star rating,7/4/2021,"It's a nice little spot. They had been closed since December but recently reopened. I asked the server if it was COVID that caused the closure and it was. The place only probably has 25 indoor seating spots (more outside for summer dining) and with former COVID capacity restrictions they closed waiting for those to be lifted, which they now are. I guess it was tough during the winter when you could only have 10 people at a time. Anyways, glad they're reopened on to my visit. Right now they only have pizza and appetizers but will be adding back entrees in the next few weeks. It being lunch I had the arancini and meatballs appetizers which were both really really delicious. I saw other parties with pizza and that looked great too. This place will be terrific once they're back up to full speed and I will return to try the entrees!"
10,Scopa,2 star rating,9/20/2020,"Where are all the good reviews coming from?  We had dinner last night and there was only one other table and the service was painfully slow. There wine list is surprisingly void of many Italian wines. We ordered the Barbara and they were out but it took 15 minutes to tell us that. Of Course the bottle they had was 30% more.
The bread and oils were well presented and very good. The charcurerie board was adequate but was strange with only one cheese that we had no idea what it was.  The burrata  was delicious but it is burrata and kind of hard to mess up.  
The Bolognese was ok, although the hand made fettuccine was gummy.  The pizza was jus an average pizza. The carbonara was pretty much the most epic fail of a dish I've ever tasted. Tasted like pure heavy cream. Have they ever had carbonara? At least they took it off the bill. 
Yup, won't be back and assuming they should be closing soon."
11,Scopa,4 star rating,8/30/2019,"Food and service is fast and excellent.  My shrimp risotto was delicious and another in my group had the Frutti Del Mar, which looked really good.  I think that was the winning dish for our group.

Came here on a Wednesday night without any reservations.  No wait and no crowds, I'm glad we gave this restaurant a shot.  

Complimentary bread looked delicious.  Our group ate it all up.  Prices are competitive with the other local places.  Look at the pics on Yelp and make your pick.  Everything is good."
