,Unnamed: 0,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,latitude,longitude
0,0.0,hdBsXpL9uAllcb2QsqzK7g,red-white-ramen-boston,RED WHITE RAMEN,https://s3-media2.fl.yelpcdn.com/bphoto/hNgnK179jb5168194s6j1Q/o.jpg,False,https://www.yelp.com/biz/red-white-ramen-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ,281,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'ramen', 'title': 'Ramen'}]",4.5,"{'latitude': 42.348815, 'longitude': -71.084731}","['delivery', 'pickup']",$$,"{'address1': '294 Newbury St', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02115', 'country': 'US', 'state': 'MA', 'display_address': ['294 Newbury St', 'Boston, MA 02115']}",18572770609.0,(857) 277-0609,224.02724,42.348815,-71.084731
1,1.0,tKRg7pxR2Sw7aSrHTQS5mQ,buttermilk-and-bourbon-boston-2,Buttermilk & Bourbon,https://s3-media3.fl.yelpcdn.com/bphoto/_zDE2haOYTl_hJSsoW183g/o.jpg,False,https://www.yelp.com/biz/buttermilk-and-bourbon-boston-2?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ,795,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",4.0,"{'latitude': 42.3513, 'longitude': -71.07864}","['delivery', 'pickup']",$$,"{'address1': '160 Commonwealth Ave', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02116', 'country': 'US', 'state': 'MA', 'display_address': ['160 Commonwealth Ave', 'Boston, MA 02116']}",16172661122.0,(617) 266-1122,533.0414416,42.3513,-71.07864
2,2.0,sA2gVTJOBH7Qk32p48ENdQ,saltie-girl-boston,Saltie Girl,https://s3-media4.fl.yelpcdn.com/bphoto/k4kCgobEKPxmj9R6TeDQDw/o.jpg,False,https://www.yelp.com/biz/saltie-girl-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ,1468,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 42.35116, 'longitude': -71.07758}","['delivery', 'pickup']",$$$,"{'address1': '279 Dartmouth St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02116', 'country': 'US', 'state': 'MA', 'display_address': ['279 Dartmouth St', 'Boston, MA 02116']}",16172670691.0,(617) 267-0691,577.5771123,42.35116,-71.07758
3,3.0,inAEY3i1hYR4BlJfPgKFPw,santouka-back-bay-boston-2,Santouka Back Bay,https://s3-media3.fl.yelpcdn.com/bphoto/0u9P_0CRYxrDl1HDONj4Mw/o.jpg,False,https://www.yelp.com/biz/santouka-back-bay-boston-2?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ,673,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,"{'latitude': 42.3484762870602, 'longitude': -71.0854271426797}","['delivery', 'pickup']",$$,"{'address1': '66 Hereford St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02115', 'country': 'US', 'state': 'MA', 'display_address': ['66 Hereford St', 'Boston, MA 02115']}",18573105194.0,(857) 310-5194,258.2629151,42.34847629,-71.08542714
4,4.0,mnFhrH1Fi5GoSuV-5gVpnA,krasi-boston-2,Krasi,https://s3-media3.fl.yelpcdn.com/bphoto/W9RpNok3Z2WXmA2GSISKEQ/o.jpg,False,https://www.yelp.com/biz/krasi-boston-2?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ,226,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 42.3486717927888, 'longitude': -71.084109}",['delivery'],$$,"{'address1': '48 Gloucester St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02115', 'country': 'US', 'state': 'MA', 'display_address': ['48 Gloucester St', 'Boston, MA 02115']}",16175360230.0,(617) 536-0230,181.0752325,42.34867179,-71.084109
5,5.0,sqr1T-KLQ7ED49SlAEx49w,sojuba-boston,SOJUba,https://s3-media2.fl.yelpcdn.com/bphoto/6Co073-YbNm2DcYUHeW6HA/o.jpg,False,https://www.yelp.com/biz/sojuba-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ,416,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.0,"{'latitude': 42.3452636, 'longitude': -71.0963814}",['delivery'],$$,"{'address1': '1265 Boylston St', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['1265 Boylston St', 'Boston, MA 02215']}",16174241260.0,(617) 424-1260,1161.843813,42.3452636,-71.0963814
6,6.0,PSp0P_3zWIQabA5HAIJBMQ,pho-basil-boston,Pho Basil,https://s3-media3.fl.yelpcdn.com/bphoto/o5SyYRWPu3Bf8tCvn5qLMw/o.jpg,False,https://www.yelp.com/biz/pho-basil-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ,1316,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 42.34578219999804, 'longitude': -71.08728270191278}","['delivery', 'pickup']",$$,"{'address1': '177 Massachusetts Ave', 'address2': 'Ste A', 'address3': '', 'city': 'Boston', 'zip_code': '02115', 'country': 'US', 'state': 'MA', 'display_address': ['177 Massachusetts Ave', 'Ste A', 'Boston, MA 02115']}",16172625377.0,(617) 262-5377,431.8357275,42.3457822,-71.0872827
7,7.0,ddPn6GjshjxANx6py2-GkA,pressed-cafe-boston-2,Pressed Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/Z-xb3WDF86Kj1BHPR12WfQ/o.jpg,False,https://www.yelp.com/biz/pressed-cafe-boston-2?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ,70,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",5.0,"{'latitude': 42.3461489, 'longitude': -71.081334}",[],$$,"{'address1': '105 Huntington Ave', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02199', 'country': 'US', 'state': 'MA', 'display_address': ['105 Huntington Ave', 'Boston, MA 02199']}",18572335427.0,(857) 233-5427,178.8013891,42.3461489,-71.081334
8,8.0,NEyVq3SIgEQrHiGYzh2O8A,eataly-boston-boston,Eataly Boston,https://s3-media4.fl.yelpcdn.com/bphoto/eM_FYOR5KZiIw5IM45ewRA/o.jpg,False,https://www.yelp.com/biz/eataly-boston-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ,1071,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'italian', 'title': 'Italian'}]",3.5,"{'latitude': 42.347660528934846, 'longitude': -71.08250332386281}","['delivery', 'pickup']",$$,"{'address1': '800 Boylston St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02199', 'country': 'US', 'state': 'MA', 'display_address': ['800 Boylston St', 'Boston, MA 02199']}",16178077300.0,(617) 807-7300,18.29026564,42.34766053,-71.08250332
9,9.0,nyy38msunExaObJOeH7j0Q,bootleg-special-boston,Bootleg Special,https://s3-media1.fl.yelpcdn.com/bphoto/DrKLEOsg5sZ-yjoMb4uTUQ/o.jpg,False,https://www.yelp.com/biz/bootleg-special-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ,838,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.0,"{'latitude': 42.3471199, 'longitude': -71.06834}","['restaurant_reservation', 'delivery', 'pickup']",$$,"{'address1': '400 Tremont St', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02116', 'country': 'US', 'state': 'MA', 'display_address': ['400 Tremont St', 'Boston, MA 02116']}",16174511800.0,(617) 451-1800,1177.410062,42.3471199,-71.06834
