,Name,Rating,Date,Review
0,Kipos Pizzeria & Restaurant,5 star rating,5/14/2016,"I feel obligated to give Kipos 5 stars because there is no way on Earth (or any other planet for that matter) that it deserves an overall rating under 4 stars. 

After reading all the reviews for Kipos, I was very apprehensive to check it out. 1.5 stars, really? It can't be that bad. If it wasn't for my close proximity, I probably would've just skipped it, but I'm so glad I didn't. 

First off, when I walked in the door, the sweet older gentleman and his presumptive wife were in there, MAKING THE DOUGH FROM SCRATCH! THIS IS NOT A TYPO! This alone should warrant a couple stars! You don't find your local Dominos putting in this kind of effort. 

They have a pretty extensive menu, but being primarily a pizza joint, I decided to try a calzone. I got the chicken parm calzone and let's just say this thing was a monster. For 11 bucks, you get a monster calzone that barely fit in the box! 

Once I sprinted home to sink my mitts and fangs into this monstrosity I had to cut it in half because it was so darn big. This allowed me to get a cross sectional view of all the delicious insides of this beast. It was loaded down with cheese and sauce and chicken, and I mean loaded down. Everything tasted so hot and fresh, I feel like what I got was in a different universe from that I was expecting after reading the previous reviews. 

There's no doubt I'll be going back, and now not just out of sheer convenience but because Kipos is awesome! A local place like Kipos that has been around in Charlestown for a while is right in my wheelhouse for places I love. Support local!"
1,Kipos Pizzeria & Restaurant,5 star rating,11/5/2020,"Pizza is not great honestly but the guy serving the pizza was the man! Tight knit neighborhood spot you can tell, wish I could've tried more food."
2,Kipos Pizzeria & Restaurant,2 star rating,10/27/2018,Chicken fingers or tenders they are the  same thing and sorry to say they continue to disappoint. I liked the Fry's but it's been a while since I had them. I get a Coke or a frappe there once in a while. They seem to be nice people.
3,Kipos Pizzeria & Restaurant,1 star rating,11/23/2019,"It's been a long time since I have ordered hear but I recently ordered from here and they was rude so I said to myself just let it go. I just tried to order from here again and once again very rude... "" so what the hell do you want "" I will never order from here again and hope they shut down... my second time trying to order and having someone talk to you like that is completely uncalled for. I was never rude just trying to find out if it was a small or large pizza we wanted and the guy who answered was very rude and so was the lady the last time I ordered. NEVER AGAIN!!!"
4,Kipos Pizzeria & Restaurant,5 star rating,11/17/2018,Best chicken fingers in town! No doubt. I moved into the area and have been trying to find a local eating establishment and now I've found it. Thanks Kipos!
5,Kipos Pizzeria & Restaurant,1 star rating,7/30/2015,"Not sure what kind of crime ring this shop is a front for, but it is clearly not related to food.

I had a hard time choking down the pizza that came out of a kitchen that was furnished by a hoarder in 1983."
6,Kipos Pizzeria & Restaurant,2 star rating,2/18/2018,"Tasteless pizza ... Legit. Subs are ok , calzones are like meat encased in a heavy brick of dough, cold cuts are good , the fries are probably the best thing they have , chicken fingers are gamey and rubbery tasting.  The clientele is mostly young kids which probably explains its surprising longevity in the area."
7,Kipos Pizzeria & Restaurant,1 star rating,7/28/2010,"Stop. Just stop right there. Who are you people? They USED to have bad pizza? 3 stars? 4 stars?!! Stop it!

Look, this isn't about pizza snobbery. I've had good pizza, and I've had mediocre pizza. But I love pizza in nearly every form. Those little frozen pizza bagels are fantastic to me! Even the greasiest late night bar crawl pizza is still tasty because it's pizza! People groan about Hi-Fi in Central Square, Cambridge. Sure it's not GREAT pizza... but it's still pizza and it's still tasty. Soggy, crispy, deep dish, thin crust, burnt, greasy, rubbery... I've endured it all and I've gone back for seconds. I love pizza. Who doesn't?

Kipos should not exist. This was, by far, the worst pizza I've ever had in my entire life... fresh... frozen... or otherwise. I couldn't even understand it. My brain simply could not fathom how a business could sell this and call it brick oven pizza. How can a business sell this and maintain a customer base? How are they making their money? Somebody has to explain this to me!

First of all, the establishment is a wreck. Ceiling fans hanging by wires, chairs and boxes piled up in the back like they're on their way to the dump, but they're not... they're covered in dust. It's as though this is some sort of sorrowful tribute to a bygone era. There's even an arcade machine sitting unplugged and covered in dust.

I ordered a large cheese pizza. The most simple of pies. They reached under the counter... shuffled a bit... and out came a pie, in mere seconds. It looked frozen, perhaps... I honestly can't say. But it was not made from anything fresh. My thoughts? Even frozen pizza is kind of ok... so I'll go with it.

I'm not the type of person to refuse to pay for an ordered meal... but man, in this case I wish I was. This pizza was awful. Thin little slices of  cardboard with crusty cheese on them. You could hold the slice vertically and nothing would move. You could throw it like a frisbee (I actually made the motion vigorously with a slice) and none of the ingredients moved. It wouldn't bend, flop, slide, or drip. This is NOT pizza. It reminded me of that scene in National Lampoon's Christmas Vacation when the turkey explodes... and they're all sitting around eating these little nuclear bits of crispy flesh.

Seriously guys... maybe it's run by a family of good people. But don't support this mess. They're not even trying. These good people need to move on and run something easier like an ice cream stand. They do sell ice cream here. Maybe that's where their bread and butter lies."
8,Kipos Pizzeria & Restaurant,1 star rating,7/28/2015,"This is a place you eat at if you are really hungry and there is nothing else around, I've had the steak and cheese, where's the cheese? My son had the pizza, didnt even want to finish it, they use the microwave for heating and cooking most of their food (no! ) they have to customer service skills to save their life. After i ordered for delivery once i said never again the lady knocked on my door and i told her more then once to hold on because i was in the bathroom and i know she could hear me (small house thin walls) she had someone bang on my window to get me to rush and come to the door"
9,Kipos Pizzeria & Restaurant,5 star rating,2/3/2017,I walked by this place and I decided to try it out. I ordered fries and a eggplant Parmesan sub and it was really good! I was surprised. The place could use a little fixing up but over all good place.
